year,state,region,population_in_m,victims_per_1m
2016,Maryland,Northeast,6.0,9.8
2016,Michigan,Midwest,10.0,5.8
2016,Missouri,Midwest,6.1,7.6
2016,New York,Northeast,19.6,3.8
2016,Oklahoma,Southwest,3.9,1.5
2016,Virginia,Southeast,8.4,6.5
2016,Louisiana,Southeast,4.7,15.6
2016,Minnesota,Midwest,5.5,4.5
2016,Tennessee,Southeast,6.7,8.7
2016,Wisconsin,Midwest,5.8,1.4
2016,California,West,39.1,5.8
2016,New Jersey,Northeast,8.9,5.1
2016,New Mexico,Southwest,2.1,8.6
2016,Washington,West,7.3,5.1
2016,Connecticut,Northeast,3.6,10.1
2016,Mississippi,Southeast,3.0,9.7
2016,Pennsylvania,Northeast,12.8,3.8
2016,Massachusetts,Northeast,6.8,2.2
2016,West Virginia,Southeast,1.8,2.2
2016,North Carolina,Southeast,10.2,4.0
2016,South Carolina,Southeast,5.0,4.2
2016,District of Columbia,Northeast,0.7,36.4
2017,Iowa,Midwest,3.1,2.9
2017,Ohio,Midwest,11.7,10.0
2017,Utah,West,3.1,1.6
2017,Maine,Northeast,1.3,3.7
2017,Texas,Southwest,28.3,5.3
2017,Kansas,Midwest,2.9,6.5
2017,Nevada,West,3.0,169.6
2017,Alabama,Southeast,4.9,9.0
2017,Arizona,Southwest,7.0,2.8
2017,Florida,Southeast,21.0,5.8
2017,Georgia,Southeast,10.4,4.3
2017,Indiana,Midwest,6.7,5.0
2017,Montana,West,1.1,4.7
2017,Arkansas,Southeast,3.0,12.3
2017,Colorado,West,5.6,2.1
2017,Delaware,Northeast,1.0,4.2
2017,Illinois,Midwest,12.8,13.8
2017,Kentucky,Southeast,4.5,6.3
2017,Maryland,Northeast,6.0,5.6
2017,Michigan,Midwest,10.0,3.4
2017,Missouri,Midwest,6.1,7.9
2017,New York,Northeast,19.6,3.1
2017,Oklahoma,Southwest,3.9,1.3
2017,Virginia,Southeast,8.5,6.8
2017,Louisiana,Southeast,4.7,14.8
2017,Minnesota,Midwest,5.6,3.1
2017,Tennessee,Southeast,6.7,10.4
2017,Wisconsin,Midwest,5.8,1.6
2017,California,West,39.3,4.7
2017,New Jersey,Northeast,8.9,6.1
2017,New Mexico,Southwest,2.1,5.3
2017,Washington,West,7.4,1.9
2017,Connecticut,Northeast,3.6,2.2
2017,Mississippi,Southeast,3.0,21.7
2017,Pennsylvania,Northeast,12.8,5.5
2017,Massachusetts,Northeast,6.9,0.6
2017,North Carolina,Southeast,10.3,3.3
2017,South Carolina,Southeast,5.0,7.4
2017,District of Columbia,Northeast,0.7,34.4
2018,Ohio,Midwest,11.7,5.1
2018,Utah,West,3.2,1.3
2018,Texas,Southwest,28.6,3.0
2018,Kansas,Midwest,2.9,4.1
2018,Nevada,West,3.0,5.9
2018,Alabama,Southeast,4.9,13.7
2018,Arizona,Southwest,7.2,1.3
2018,Florida,Southeast,21.3,8.4
2018,Georgia,Southeast,10.5,3.4
2018,Indiana,Midwest,6.7,4.3
2018,Arkansas,Southeast,3.0,8.0
2018,Colorado,West,5.7,6.3
2018,Delaware,Northeast,1.0,5.2
2018,Illinois,Midwest,12.7,13.4
2018,Kentucky,Southeast,4.5,7.2
2018,Maryland,Northeast,6.0,7.3
2018,Michigan,Midwest,10.0,3.8
2018,Missouri,Midwest,6.1,10.6
2018,Nebraska,Midwest,1.9,8.8
2018,New York,Northeast,19.5,3.0
2018,Oklahoma,Southwest,3.9,5.3
2018,Virginia,Southeast,8.5,2.2
2018,Louisiana,Southeast,4.7,13.7
2018,Minnesota,Midwest,5.6,2.5
2018,Tennessee,Southeast,6.8,12.8
2018,Wisconsin,Midwest,5.8,2.9
2018,California,West,39.4,4.7
2018,New Jersey,Northeast,8.9,6.5
2018,New Mexico,Southwest,2.1,4.3
2018,Washington,West,7.5,1.7
2018,Connecticut,Northeast,3.6,2.2
2018,Mississippi,Southeast,3.0,6.0
2018,Pennsylvania,Northeast,12.8,7.7
2018,Massachusetts,Northeast,6.9,0.6
2018,North Carolina,Southeast,10.4,4.5
2018,South Carolina,Southeast,5.1,4.7
2018,District of Columbia,Northeast,0.7,35.5
2019,Iowa,Midwest,3.2,4.4
2019,Ohio,Midwest,11.7,6.9
2019,Texas,Southwest,29.0,7.4
2019,Kansas,Midwest,2.9,7.2
2019,Nevada,West,3.1,4.9
2019,Oregon,West,4.2,1.2
2019,Alabama,Southeast,4.9,13.7
2019,Arizona,Southwest,7.3,4.5
2019,Florida,Southeast,21.5,3.4
2019,Georgia,Southeast,10.6,8.5
2019,Indiana,Midwest,6.7,8.2
2019,Montana,West,1.1,8.4
2019,Wyoming,West,0.6,6.9
